date,Profit
1/1/2011,-26
1/3/2011,290
1/4/2011,21
1/4/2011,-22
1/5/2011,-1
1/7/2011,21
1/8/2011,77
1/11/2011,36
1/11/2011,2
1/11/2011,143
1/11/2011,-1012
1/12/2011,-56
1/12/2011,14
1/12/2011,20
1/13/2011,-342
1/13/2011,10
1/14/2011,31
1/15/2011,6
1/17/2011,7
1/18/2011,-6
1/18/2011,70
1/19/2011,165
1/19/2011,49
1/20/2011,6
1/21/2011,21
1/22/2011,-3
1/22/2011,-12
1/24/2011,-38
1/24/2011,-131
1/25/2011,-14
1/25/2011,103
1/26/2011,78
1/26/2011,66
1/26/2011,3
1/28/2011,7
2/1/2011,25
2/1/2011,2
2/2/2011,11
2/2/2011,-8
2/2/2011,33
2/2/2011,-11
2/2/2011,44
2/2/2011,8
2/2/2011,21
2/3/2011,8
2/4/2011,233
2/7/2011,338
2/7/2011,3
2/8/2011,120
2/9/2011,12
2/9/2011,59
2/9/2011,-57
2/10/2011,-95
2/10/2011,3
2/10/2011,8
2/10/2011,3
2/14/2011,4
2/15/2011,59
2/15/2011,4
2/16/2011,4
2/18/2011,5
2/18/2011,20
2/18/2011,10
2/21/2011,18
2/21/2011,-217
2/22/2011,-1
2/22/2011,20
2/22/2011,11
2/23/2011,4
2/24/2011,8
2/26/2011,140
3/1/2011,8
3/1/2011,43
3/1/2011,-8
3/1/2011,0
3/1/2011,-59
3/1/2011,-41
3/3/2011,18
3/7/2011,-8
3/8/2011,-236
3/9/2011,-76
3/10/2011,104
3/10/2011,241
3/10/2011,23
3/11/2011,1
3/11/2011,13
3/12/2011,-62
3/12/2011,15
3/14/2011,4
3/14/2011,6
3/14/2011,12
3/14/2011,11
3/15/2011,22
3/16/2011,5
3/17/2011,21
3/18/2011,90
3/18/2011,-19
3/21/2011,-2
3/21/2011,15
3/21/2011,24
3/21/2011,18
3/21/2011,5
3/22/2011,-3
3/23/2011,-14
3/24/2011,-220
3/25/2011,117
3/25/2011,24
3/25/2011,8
3/25/2011,27
3/26/2011,353
3/26/2011,4
3/28/2011,1
3/28/2011,2
3/29/2011,-577
3/29/2011,-500
3/30/2011,-82
3/31/2011,19
3/31/2011,1868
3/31/2011,0
4/1/2011,32
4/1/2011,43
4/4/2011,8
4/4/2011,23
4/4/2011,8
4/5/2011,-2
4/6/2011,14
4/6/2011,6
4/7/2011,8
4/7/2011,-943
4/9/2011,78
4/11/2011,-13
4/11/2011,-5
4/12/2011,2
4/12/2011,30
4/14/2011,12
4/14/2011,8
4/15/2011,8
4/16/2011,40
4/18/2011,-93
4/18/2011,-60
4/18/2011,104
4/19/2011,77
4/19/2011,58
4/20/2011,0
4/20/2011,-41
4/20/2011,0
4/21/2011,35
4/22/2011,13
4/25/2011,45
4/26/2011,24
4/26/2011,37
4/26/2011,3
4/26/2011,-5
4/27/2011,342
4/27/2011,289
4/27/2011,35
4/27/2011,10
4/28/2011,30
4/29/2011,29
4/29/2011,37
4/29/2011,15
4/29/2011,37
4/29/2011,21
4/29/2011,27
5/2/2011,59
5/2/2011,203
5/3/2011,-18
5/4/2011,10
5/4/2011,28
5/4/2011,14
5/4/2011,7
5/4/2011,57
5/5/2011,91
5/5/2011,20
5/6/2011,62
5/7/2011,1364
5/7/2011,20
5/9/2011,49
5/9/2011,4
5/10/2011,73
5/10/2011,4
5/10/2011,-2
5/10/2011,19
5/11/2011,8
5/12/2011,10
5/12/2011,7
5/13/2011,12
5/13/2011,5
5/15/2011,28
5/16/2011,20
5/17/2011,7
5/18/2011,42
5/18/2011,14
5/18/2011,0
5/18/2011,9
5/19/2011,3
5/19/2011,-90
5/21/2011,16
5/21/2011,27
5/25/2011,85
5/26/2011,8
5/26/2011,27
5/26/2011,76
5/27/2011,20
5/27/2011,3
5/27/2011,45
5/28/2011,36
5/30/2011,-9
5/31/2011,-4
6/1/2011,-12
6/1/2011,-55
6/1/2011,98
6/1/2011,26
6/1/2011,45
6/1/2011,-21
6/2/2011,-59
6/2/2011,27
6/2/2011,3
6/2/2011,45
6/3/2011,-6
6/4/2011,-57
6/4/2011,-1
6/6/2011,14
6/6/2011,16
6/6/2011,37
6/6/2011,446
6/6/2011,9
6/6/2011,8
6/6/2011,30
6/7/2011,-44
6/7/2011,69
6/7/2011,32
6/7/2011,50
6/7/2011,-290
6/7/2011,175
6/7/2011,33
6/7/2011,14
6/8/2011,16
6/8/2011,483
6/8/2011,139
6/8/2011,234
6/9/2011,1
6/9/2011,17
6/9/2011,221
6/9/2011,38
6/9/2011,6
6/10/2011,184
6/10/2011,1
6/10/2011,2
6/11/2011,19
6/11/2011,-127
6/13/2011,-5
6/13/2011,74
6/13/2011,8
6/13/2011,25
6/14/2011,86
6/14/2011,9
6/14/2011,109
6/15/2011,-12
6/15/2011,19
6/15/2011,4
6/16/2011,39
6/16/2011,5
6/16/2011,1
6/16/2011,51
6/16/2011,32
6/17/2011,6
6/17/2011,12
6/17/2011,-7
6/17/2011,14
6/17/2011,1
6/18/2011,18
6/18/2011,10
6/18/2011,-238
6/20/2011,-37
6/20/2011,12
6/20/2011,1
6/21/2011,32
6/22/2011,7
6/22/2011,24
6/22/2011,0
6/22/2011,2
6/22/2011,12
6/22/2011,32
6/24/2011,12
6/24/2011,12
6/24/2011,89
6/24/2011,229
6/25/2011,0
6/27/2011,10
6/27/2011,89
6/27/2011,3
6/27/2011,76
6/27/2011,-19
6/27/2011,-24
6/27/2011,65
6/27/2011,65
6/28/2011,-34
6/28/2011,21
6/28/2011,-36
6/28/2011,133
6/28/2011,552
6/28/2011,251
6/29/2011,40
6/29/2011,4
7/1/2011,2
7/2/2011,5
7/6/2011,6
7/6/2011,7
7/6/2011,0
7/7/2011,12
7/8/2011,40
7/8/2011,8
7/9/2011,14
7/9/2011,17
7/11/2011,44
7/12/2011,1
7/12/2011,154
7/12/2011,73
7/12/2011,232
7/13/2011,29
7/14/2011,112
