loan_amnt,int_rate,EmploymentLength ,Loan_Purpose ,home_ownership,LoanTerm,total_rec_prncp,total_rec_int,total_pymnt
1000,31,10,9,1,1,34.93,48.25,83
1000,10,10,7,1,1,49.38,12.8,64
1000,8,10,9,1,1,39.22,36.67,62
1000,23,2,3,1,1,50.65,10.09,76
1000,19,3,3,1,1,42.02,29.66,72
1000,6,3,2,1,1,39.22,36.67,61
1000,23,4,,1,1,39.22,36.67,76
1000,25,5,9,1,1,1000,22.65,78
1000,13,5,3,1,1,1000,7.53,94
1000,23,7,3,1,1,39.22,36.67,76
1000,31,11,9,1,1,47.85,16.15,83
1000,23,10,6,2,1,39.22,36.67,76
1000,14,1,8,3,1,39.22,36.67,1008
1000,23,3,3,3,1,38.04,39.73,1023
1000,23,4,2,3,1,82.88,10.82,76
1000,23,11,3,3,1,34.98,48.09,76
1000,11,11,3,3,1,23.47,11.94,35
1200,9,1,4,1,1,51.18,33.76,75
1200,26,5,9,1,1,44.97,49.5,94
1200,18,10,,2,1,58.71,16.53,85
1200,26,5,,3,1,44.97,49.5,94
1250,23,10,9,3,1,48.93,45.93,95
1300,8,2,2,1,1,332.61,7.05,340
1300,13,11,5,2,1,29.73,12.65,42
1400,8,10,1,3,1,320.6,16.44,337
1500,18,10,9,1,1,63.97,42.2,106
1500,11,3,2,1,1,61.16,49.09,96
1500,27,2,9,3,1,71.34,25.14,68
1500,15,4,6,3,1,209.71,56.94,102
1500,25,6,3,3,1,27.38,40.9,267
1500,21,11,2,3,1,75.33,16.45,110
1500,7,11,7,3,1,66.91,35.25,92
1600,8,2,2,3,1,78.27,22.04,96
1600,9,7,2,3,1,79.73,15.88,100
1700,14,11,7,3,1,77.5,36.06,114
1800,10,1,9,3,1,86.12,29.07,115
1900,7,10,2,3,1,95.43,20.84,116
1950,14,11,2,3,1,44.21,22.04,66
2000,17,10,3,1,1,85.29,56.27,140
2000,14,10,7,1,1,98.74,25.6,134
2000,6,2,2,1,1,86.68,52.94,120
2000,17,4,2,1,1,86.68,52.94,140
2000,8,4,2,1,1,84.04,59.32,124
2000,13,10,9,3,1,81.55,65.45,133
2000,19,2,9,3,1,91.17,42.43,143
2000,15,3,3,3,1,101.29,19.1,136
2000,18,4,3,3,1,89.21,47.01,142
2000,21,8,9,3,1,91.97,40.61,147
2100,14,10,9,1,1,94.44,47.55,142
2200,20,10,9,1,1,98.12,51.71,160
2200,20,1,3,2,1,45.17,35.3,80
2200,26,1,3,2,1,82.44,90.76,173
2200,7,7,2,3,1,91.07,68.64,99
2200,15,11,3,3,1,85.84,12.87,150
2400,8,10,3,1,1,245.54,27.41,208
2400,7,10,4,1,1,114.15,40.23,147
2400,8,11,2,1,1,107.93,54.34,273
2400,11,1,2,3,1,179.92,28.03,154
2400,14,8,3,3,1,120.53,26.33,162
2500,11,1,1,1,1,113.98,53.04,98
2500,19,10,3,1,1,101.94,81.81,2563
2500,12,10,7,1,1,2500,1.29,163
2500,9,10,3,1,1,98.05,91.67,157
2500,18,11,2,1,1,111.49,58.76,177
2500,23,5,3,2,1,124.57,29.53,190
2500,15,11,3,2,1,122.3,34.42,170
2500,12,11,6,2,1,117.01,46.13,163
2500,7,1,2,3,1,76.92,20.85,153
2500,14,10,3,3,1,106.62,70.34,167
2500,21,3,9,3,1,2500,62.55,184
2500,8,4,2,3,1,117.01,46.13,154
2500,14,5,9,3,1,125.56,27.42,2501
2525,17,1,2,3,1,109.44,66.84,176
2700,8,4,2,2,1,2700,0.84,2701
2800,6,10,3,1,1,141.77,28.26,170
2800,11,6,3,1,1,132.02,49.52,182
2825,26,10,2,3,1,105.85,116.54,222
3000,12,1,3,1,1,127.94,84.41,99
3000,9,1,3,1,1,133.79,70.51,188
3000,24,10,10,1,1,73.12,24.96,230
3000,8,10,4,1,1,142.67,50.29,187
3000,9,10,4,1,1,127.94,84.41,188
3000,9,10,4,1,1,143.51,48.45,188
3000,15,4,4,1,1,148.11,38.4,204
3000,15,5,,1,1,133.79,70.51,204
3000,14,6,3,1,1,148.11,38.4,200
3000,10,6,2,1,1,146.77,41.31,192
3000,18,7,9,1,1,146.77,41.31,212
3000,11,11,2,1,1,136.77,63.64,193
3000,12,11,3,1,1,115.89,114.6,196
3000,19,1,4,2,1,143.51,48.45,215
3000,11,1,,2,1,140.41,55.36,193
3000,10,1,2,2,1,148.11,38.4,192
3000,9,4,3,2,1,148.11,38.4,188
3000,11,1,2,3,1,127.94,84.41,193
3000,9,1,2,3,1,141.43,53.06,188
3000,8,1,3,3,1,146.77,41.31,187
3000,18,10,3,3,1,124.16,93.6,212
3000,17,10,9,3,1,112.41,123.75,104
3000,10,10,2,3,1,69.86,29.5,192
3000,8,10,2,3,1,143.51,48.45,187
3000,8,10,6,3,1,142.67,50.29,187
3000,18,2,2,3,1,143.51,48.45,212
3000,26,4,3,3,1,,39.45,236
3000,10,4,,3,1,143.51,48.45,192
3000,11,6,2,3,1,126.05,88.97,194
3000,20,7,3,3,1,142.67,50.29,218
3000,10,7,2,3,1,146.77,41.31,192
3000,9,11,3,3,1,146.77,41.31,98
3025,11,1,4,1,1,142.61,53.5,196
3125,6,8,2,1,1,158.24,31.54,190
3125,6,10,2,3,1,158.24,31.54,190
3200,17,3,1,1,1,153.08,51.69,223
3200,10,1,3,3,1,138.68,84.71,205
3300,23,3,2,3,1,129.43,121.01,250
3300,23,3,,3,1,129.43,121.01,250
3375,14,4,2,1,1,151.78,76.41,228
3450,14,1,9,2,1,157.27,73.19,230
3475,14,11,3,1,1,156.27,78.68,235
3500,11,1,2,1,1,153.48,64.88,216
3500,19,10,10,1,1,142.71,114.54,3571
3500,21,10,1,1,1,142.71,114.54,257
3500,16,10,3,1,1,207.63,79.01,218
