date,Gas
2/1/2015,3
2/1/2015,4
1/1/2016,7
8/1/2015,7
7/1/2015,7
9/1/2015,7
5/1/2015,8
6/1/2015,8
4/1/2015,9
12/1/2015,10
3/1/2015,10
9/1/2016,12
12/1/2016,13
10/1/2016,14
7/1/2016,14
10/1/2017,29
11/1/2015,42
5/1/2014,59
6/1/2014,63
9/1/2015,70
10/1/2018,76
12/1/2015,77
12/1/2016,80
2/1/2018,85
12/1/2018,88
11/1/2014,96
1/1/2018,98
10/1/2016,106
1/1/2015,110
12/1/2015,113
12/1/2017,115
10/1/2015,116
7/1/2014,116
5/1/2016,119
2/1/2016,126
2/1/2018,126
11/1/2017,137
3/1/2018,140
11/1/2017,142
5/1/2018,143
4/1/2018,144
6/1/2014,145
10/1/2017,151
9/1/2017,151
6/1/2018,152
5/1/2014,156
12/1/2017,160
1/1/2018,161
8/1/2017,173
8/1/2015,174
12/1/2016,183
10/1/2016,187
10/1/2014,188
11/1/2016,192
2/1/2017,198
4/1/2015,198
5/1/2016,199
7/1/2018,203
9/1/2016,205
7/1/2017,210
3/1/2018,210
1/1/2017,211
6/1/2015,216
4/1/2016,216
12/1/2017,217
6/1/2016,219
6/1/2017,219
8/1/2016,221
7/1/2016,232
3/1/2017,239
4/1/2016,239
5/1/2017,244
11/1/2015,253
4/1/2017,253
5/1/2014,254
2/1/2016,255
4/1/2014,255
5/1/2016,261
12/1/2015,262
1/1/2016,265
7/1/2015,269
9/1/2014,273
3/1/2016,277
4/1/2014,279
5/1/2018,283
7/1/2014,289
5/1/2017,290
8/1/2016,293
3/1/2016,293
4/1/2017,300
8/1/2017,300
11/1/2017,300
10/1/2017,301
2/1/2014,301
10/1/2017,313
3/1/2018,326
5/1/2018,343
1/1/2018,343
10/1/2017,346
2/1/2017,349
9/1/2017,357
4/1/2018,358
10/1/2014,366
4/1/2017,367
4/1/2015,369
8/1/2017,369
6/1/2017,369
5/1/2017,372
12/1/2014,377
3/1/2017,384
2/1/2015,385
10/1/2018,387
10/1/2015,388
12/1/2018,396
6/1/2018,402
7/1/2017,410
4/1/2018,413
8/1/2014,420
1/1/2015,426
11/1/2015,443
9/1/2015,445
1/1/2017,472
8/1/2018,477
9/1/2015,477
12/1/2017,481
8/1/2017,493
9/1/2018,494
5/1/2018,498
8/1/2014,501
12/1/2016,505
10/1/2016,506
8/1/2018,514
6/1/2014,543
3/1/2015,550
5/1/2015,557
4/1/2016,558
10/1/2015,559
10/1/2015,570
11/1/2016,581
9/1/2015,584
11/1/2014,584
2/1/2018,587
8/1/2014,588
9/1/2018,589
7/1/2018,592
12/1/2016,602
6/1/2014,602
11/1/2014,607
9/1/2017,613
10/1/2016,613
4/1/2017,617
9/1/2016,619
2/1/2015,620
3/1/2016,630
3/1/2017,633
12/1/2014,648
3/1/2018,651
6/1/2018,651
11/1/2018,653
7/1/2014,655
8/1/2017,657
8/1/2016,657
12/1/2018,658
1/1/2015,659
7/1/2016,659
11/1/2018,662
11/1/2015,665
2/1/2017,676
4/1/2018,680
7/1/2017,682
5/1/2016,682
5/1/2018,687
6/1/2016,692
11/1/2018,695
1/1/2018,698
6/1/2015,699
4/1/2017,699
10/1/2018,700
1/1/2016,725
12/1/2017,725
7/1/2014,732
4/1/2015,735
8/1/2017,735
10/1/2017,738
11/1/2014,747
2/1/2016,755
4/1/2018,757
4/1/2014,768
8/1/2018,771
7/1/2015,777
9/1/2014,780
2/1/2017,791
9/1/2014,794
3/1/2018,794
7/1/2015,795
9/1/2015,808
7/1/2016,812
1/1/2015,828
6/1/2016,836
7/1/2015,837
11/1/2017,838
3/1/2014,849
2/1/2017,854
11/1/2014,858
3/1/2014,860
8/1/2016,862
10/1/2017,865
5/1/2016,869
9/1/2016,871
3/1/2014,872
7/1/2015,876
10/1/2015,877
5/1/2017,878
2/1/2018,882
6/1/2017,888
8/1/2017,891
9/1/2018,893
11/1/2017,894
8/1/2018,895
4/1/2017,896
3/1/2016,898
8/1/2014,901
9/1/2008,911
11/1/2017,915
9/1/2015,916
5/1/2018,920
4/1/2017,925
2/1/2014,929
4/1/2017,934
10/1/2014,943
8/1/2015,947
12/1/2017,948
9/1/2017,950
6/1/2017,952
2/1/2016,955
11/1/2015,959
5/1/2017,968
12/1/2015,970
2/1/2018,972
7/1/2014,972
9/1/2017,974
6/1/2015,975
12/1/2014,977
10/1/2017,980
4/1/2018,984
3/1/2017,985
1/1/2018,988
11/1/2017,991
2/1/2018,996
12/1/2016,1002
6/1/2015,1003
9/1/2015,1009
3/1/2017,1010
1/1/2018,1011
7/1/2015,1013
7/1/2018,1018
10/1/2016,1022
6/1/2017,1023
9/1/2018,1024
10/1/2014,1026
1/1/2016,1044
5/1/2017,1045
4/1/2018,1049
8/1/2014,1050
11/1/2017,1055
5/1/2015,1061
8/1/2015,1063
1/1/2016,1074
4/1/2016,1081
6/1/2015,1096
1/1/2015,1097
1/1/2018,1100
1/1/2018,1101
8/1/2017,1108
10/1/2015,1113
4/1/2016,1114
2/1/2017,1124
9/1/2017,1126
8/1/2017,1127
2/1/2015,1129
3/1/2016,1130
7/1/2017,1132
11/1/2015,1135
5/1/2018,1140
11/1/2014,1141
2/1/2017,1144
7/1/2014,1147
2/1/2015,1153
11/1/2015,1154
