loan_amnt,int_rate,Term,annual_inc,emp_length,home_own,Loan_purpose,total_pymnt,Prncp_Rec,Interest_Rec,Interest_Rec,Grade
10000,11,1,35000,3,2,3,385,285,100,1,2
5000,14,1,25440,1,3,3,719,619,100,1,3
10000,6,1,90000,1,1,2,607,506,101,1,1
10000,6,1,60000,5,1,2,607,506,101,1,1
10000,6,1,115000,2,1,3,607,506,101,1,1
4000,16,1,64000,2,1,5,276,175,101,1,3
4000,16,1,40000,2,2,1,276,175,101,1,3
10000,11,1,47500,1,3,2,335,235,101,1,2
10000,6,1,47158,1,3,2,607,506,101,1,1
10000,6,1,61500,3,3,2,607,506,101,1,1
10000,6,1,35000,3,3,2,607,506,101,1,1
13000,7,1,107000,3,3,2,13101,13000,101,1,1
6000,11,1,30000,1,3,3,386,285,101,1,2
6000,11,1,70000,2,3,3,386,285,101,1,2
4000,16,1,45000,2,3,3,276,175,101,1,3
9000,8,1,47000,4,3,3,1055,954,101,1,1
8000,8,1,45000,1,1,3,497,395,102,1,1
4800,14,1,77000,2,1,3,321,219,102,1,3
16000,8,2,99100,2,1,5,319,217,102,1,1
8000,8,1,80000,3,1,2,497,395,102,1,1
5000,13,1,55000,1,2,5,331,230,102,1,2
8000,8,1,60000,5,3,2,497,395,102,1,1
5000,13,1,80000,3,3,3,331,230,102,1,2
5000,13,1,123000,5,3,3,331,230,102,1,2
8000,8,1,63000,7,3,3,497,395,102,1,1
10000,12,1,50000,1,3,2,225,123,102,1,2
6600,14,1,45000,4,1,3,404,301,103,1,3
15000,9,2,63000,2,1,3,303,200,103,1,1
10000,9,1,55000,3,3,3,346,244,103,1,1
11000,14,2,95000,2,1,3,233,129,104,1,3
10000,9,1,62000,5,3,2,593,489,104,1,1
7000,12,1,95000,6,3,3,432,328,104,1,2
11000,8,1,1120000,4,1,2,376,271,105,1,1
7000,11,1,55000,5,1,2,438,333,105,1,2
6500,10,1,42000,1,1,3,416,311,105,1,2
6500,10,1,85000,2,1,3,416,311,105,1,2
9600,7,1,85200,1,1,5,587,482,105,1,1
11000,8,2,83000,2,1,2,404,299,105,1,1
4000,17,1,75000,5,1,5,279,173,106,1,3
12000,8,1,41000,5,1,5,704,598,106,1,1
9000,19,1,47000,5,1,5,9106,9000,106,1,4
4000,17,1,45000,1,2,3,279,173,106,1,3
12000,7,1,40000,1,3,2,709,603,106,1,1
14000,6,1,60000,3,3,3,459,353,106,1,1
5000,14,1,35140,3,3,3,334,228,106,1,3
4000,17,1,50000,5,3,3,279,173,106,1,3
5000,14,1,234000,6,3,3,334,228,106,1,3
5000,14,1,99000,6,3,3,334,228,106,1,3
4000,17,1,54000,5,3,5,279,173,106,1,3
5000,16,1,50000,4,3,2,1146,1038,107,1,3
8400,11,1,43000,1,3,3,669,562,107,1,2
10000,8,1,72000,6,3,3,1966,1860,107,1,1
6400,14,1,85000,6,3,3,399,292,107,1,3
10700,6,1,70000,2,1,2,650,542,108,1,1
6000,15,1,51000,4,3,2,376,268,108,1,3
5300,13,1,80477,5,3,5,351,244,108,1,2
16000,7,1,125750,3,1,2,510,401,109,1,1
10400,13,1,66000,2,1,3,347,238,109,1,2
6500,11,1,85000,1,2,1,418,309,109,1,2
6500,11,1,50000,1,3,3,418,309,109,1,2
8000,12,1,40000,5,3,3,484,374,109,1,2
10000,7,1,49000,3,1,2,612,502,110,1,1
10000,7,1,155000,1,1,3,612,502,110,1,1
10000,7,1,72000,1,1,3,612,502,110,1,1
10000,7,1,89472,2,1,3,612,502,110,1,1
8000,9,1,55000,3,1,3,502,391,110,1,1
8000,9,1,91000,2,1,5,502,391,110,1,1
10000,7,1,107000,5,2,3,612,502,110,1,1
9350,8,1,51000,2,3,2,576,466,110,1,1
